account_id,amount,timestamp,category,is_fraud,amount_log,tx_count
1089,64.27,2024-01-01 00:00:00,travel,0,4.178532512647126,6
1773,4.19,2024-01-01 00:01:00,shopping,0,1.6467336971777973,3
1654,34.51,2024-01-01 00:02:00,food,0,3.5698143469549963,4
1438,163.5,2024-01-01 00:03:00,utility,0,5.1029105702054265,4
1433,46.26,2024-01-01 00:04:00,travel,0,3.8556642717587617,8
1858,50.53,2024-01-01 00:05:00,transfer,0,3.942164162340133,5
1085,15.33,2024-01-01 00:06:00,transfer,0,2.7930039069823738,3
1697,201.39,2024-01-01 00:07:00,utility,1,5.310196529078114,2
1201,122.37,2024-01-01 00:08:00,food,0,4.8151879700833735,5
1094,35.82,2024-01-01 00:09:00,food,0,3.6060411758049318,6
1526,22.07,2024-01-01 00:10:00,food,0,3.138533072185662,5
1975,16.25,2024-01-01 00:11:00,shopping,0,2.847812143477369,7
1735,26.33,2024-01-01 00:12:00,utility,0,3.3079849999399764,3
1761,8.34,2024-01-01 00:13:00,food,0,2.234306252240751,3
1717,14.06,2024-01-01 00:14:00,utility,0,2.7120422223717475,7
1786,2.49,2024-01-01 00:15:00,food,0,1.2499017362143359,6
1513,98.61,2024-01-01 00:16:00,travel,0,4.601262561157074,3
1128,4.39,2024-01-01 00:17:00,shopping,0,1.6845453849209058,6
1839,2.66,2024-01-01 00:18:00,transfer,0,1.297463147413275,7
1450,97.56,2024-01-01 00:19:00,utility,0,4.59066549978521,4
1500,38.88,2024-01-01 00:20:00,shopping,1,3.6858749450936377,4
1370,64.68,2024-01-01 00:21:00,food,0,4.184794465144173,5
1182,86.9,2024-01-01 00:22:00,travel,0,4.476199804691132,5
1926,34.28,2024-01-01 00:23:00,utility,0,3.5633162311385904,3
1781,67.42,2024-01-01 00:24:00,food,0,4.225665179549459,3
1643,36.76,2024-01-01 00:25:00,utility,0,3.6312503412773,1
1402,189.7,2024-01-01 00:26:00,utility,0,5.250701512606374,7
1822,84.54,2024-01-01 00:27:00,utility,0,4.448984102798763,5
1545,18.1,2024-01-01 00:28:00,travel,0,2.9496883350525844,6
1443,35.92,2024-01-01 00:29:00,travel,0,3.6087534096346516,3
1450,11.09,2024-01-01 00:30:00,food,0,2.492378664626701,4
1227,63.58,2024-01-01 00:31:00,travel,0,4.167904765330129,3
1092,13.91,2024-01-01 00:32:00,shopping,0,2.702032128776647,2
1554,36.35,2024-01-01 00:33:00,food,0,3.6203329115788265,6
1887,37.58,2024-01-01 00:34:00,shopping,0,3.652734007477583,5
1063,40.89,2024-01-01 00:35:00,travel,0,3.7350471349589434,3
1858,14.27,2024-01-01 00:36:00,shopping,0,2.725890119230541,5
1827,37.35,2024-01-01 00:37:00,travel,1,3.646754527813265,4
1276,93.8,2024-01-01 00:38:00,transfer,0,4.551769409260976,5
1631,14.87,2024-01-01 00:39:00,travel,0,2.7644305345383176,2
1165,21.39,2024-01-01 00:40:00,transfer,0,3.1086144306106633,8
1758,60.35,2024-01-01 00:41:00,food,0,4.116595171156921,4
1700,11.45,2024-01-01 00:42:00,food,0,2.5217206229107165,5
1354,151.74,2024-01-01 00:43:00,food,0,5.0287371294602385,2
1067,72.62,2024-01-01 00:44:00,shopping,1,4.298916727950875,5
1970,72.85,2024-01-01 00:45:00,transfer,0,4.302036008977389,6
1445,62.76,2024-01-01 00:46:00,food,0,4.15512603448196,3
1893,18.61,2024-01-01 00:47:00,utility,0,2.976039640208255,4
1677,30.48,2024-01-01 00:48:00,utility,0,3.4493524235492026,7
1778,35.86,2024-01-01 00:49:00,travel,0,3.607126952241677,7
1759,38.52,2024-01-01 00:50:00,travel,0,3.6768068728796672,4
1194,69.3,2024-01-01 00:51:00,transfer,0,4.252771798816619,4
1363,18.76,2024-01-01 00:52:00,utility,0,2.983659692319722,3
1466,30.34,2024-01-01 00:53:00,travel,0,3.444895236927875,2
1497,174.81,2024-01-01 00:54:00,transfer,0,5.169403866454698,4
1043,143.46,2024-01-01 00:55:00,shopping,0,4.973002652622701,6
1546,17.9,2024-01-01 00:56:00,food,0,2.9391619220655967,3
1154,55.14,2024-01-01 00:57:00,transfer,0,4.027848570933736,3
1743,12.42,2024-01-01 00:58:00,transfer,0,2.5967461315435356,6
1683,20.53,2024-01-01 00:59:00,shopping,0,3.0694473113762717,4
1922,19.56,2024-01-01 01:00:00,utility,0,3.0233474405869645,2
1744,53.59,2024-01-01 01:01:00,travel,0,3.9998507157936665,3
1366,132.57,2024-01-01 01:02:00,transfer,0,4.8946256849890135,5
1967,31.87,2024-01-01 01:03:00,travel,0,3.492560387676128,1
1410,151.4,2024-01-01 01:04:00,travel,0,5.026508643252546,5
1325,111.45,2024-01-01 01:05:00,shopping,0,4.722508678405324,5
1905,37.74,2024-01-01 01:06:00,travel,0,3.65687265797885,2
1370,57.0,2024-01-01 01:07:00,utility,0,4.060443010546419,5
1076,47.95,2024-01-01 01:08:00,utility,0,3.8907993689765195,3
1469,89.73,2024-01-01 01:09:00,shopping,0,4.507888063181538,6
1795,45.07,2024-01-01 01:10:00,utility,0,3.830161978947826,6
1189,35.76,2024-01-01 01:11:00,shopping,1,3.6044102974874863,5
1462,45.83,2024-01-01 01:12:00,transfer,0,3.8465240231954505,2
1129,43.42,2024-01-01 01:13:00,travel,0,3.7936898184662815,5
1686,14.8,2024-01-01 01:14:00,utility,0,2.760009940032921,4
1475,1.22,2024-01-01 01:15:00,shopping,0,0.797507195884188,5
1330,25.32,2024-01-01 01:16:00,transfer,0,3.2703291064571163,4
1226,22.36,2024-01-01 01:17:00,travel,0,3.151025157960026,2
1564,298.55,2024-01-01 01:18:00,food,0,5.702281348529934,5
1669,41.84,2024-01-01 01:19:00,transfer,0,3.757472245579548,2
1940,44.34,2024-01-01 01:20:00,transfer,1,3.814189645079383,5
1437,54.45,2024-01-01 01:21:00,utility,0,4.015481713796376,5
1160,59.15,2024-01-01 01:22:00,shopping,0,4.096841442420688,6
1832,8.78,2024-01-01 01:23:00,shopping,0,2.280339484046726,7
1629,32.51,2024-01-01 01:24:00,utility,0,3.511843901749219,3
1700,4.16,2024-01-01 01:25:00,utility,0,1.6409365794934714,5
1097,0.07,2024-01-01 01:26:00,travel,0,0.06765864847381486,3
1312,36.35,2024-01-01 01:27:00,food,0,3.6203329115788265,3
1767,199.29,2024-01-01 01:28:00,food,1,5.299766316313141,3
1832,32.08,2024-01-01 01:29:00,travel,0,3.4989288701554906,7
1435,3.68,2024-01-01 01:30:00,utility,0,1.5432981099295553,3
1804,17.3,2024-01-01 01:31:00,shopping,0,2.9069010598473755,6
1841,10.17,2024-01-01 01:32:00,utility,0,2.413231613081109,5
1387,64.65,2024-01-01 01:33:00,shopping,0,4.184337600748806,2
1898,19.16,2024-01-01 01:34:00,travel,0,3.0037004432031678,3
1288,51.94,2024-01-01 01:35:00,utility,0,3.9691591967989552,6
1239,27.66,2024-01-01 01:36:00,utility,0,3.3555024224000256,4
1682,51.6,2024-01-01 01:37:00,transfer,0,3.9627161197436642,2
1636,47.9,2024-01-01 01:38:00,transfer,0,3.8897773964808264,4
1139,109.99,2024-01-01 01:39:00,travel,0,4.709440107163888,7
1832,18.41,2024-01-01 01:40:00,utility,0,2.9657883971809187,7
1199,21.3,2024-01-01 01:41:00,travel,1,3.104586678466073,5
1804,32.4,2024-01-01 01:42:00,transfer,1,3.5085558999826545,6
1007,37.12,2024-01-01 01:43:00,utility,0,3.6407390787860012,6
1796,11.58,2024-01-01 01:44:00,transfer,0,2.5321082512722946,7
1786,40.17,2024-01-01 01:45:00,travel,0,3.7177098357818132,6
1780,66.65,2024-01-01 01:46:00,food,0,4.214347354616797,6
1664,15.02,2024-01-01 01:47:00,food,0,2.7738379416402132,3
1471,107.5,2024-01-01 01:48:00,shopping,0,4.686750172980514,4
1705,89.18,2024-01-01 01:49:00,transfer,0,4.501807672992938,4
1277,82.59,2024-01-01 01:50:00,utility,0,4.4259238957110645,2
1780,69.69,2024-01-01 01:51:00,transfer,0,4.258304120182863,6
1555,53.3,2024-01-01 01:52:00,shopping,0,3.9945242269398897,6
1458,33.18,2024-01-01 01:53:00,transfer,0,3.5316406776874447,5
1505,55.0,2024-01-01 01:54:00,transfer,0,4.02535169073515,7
1568,96.05,2024-01-01 01:55:00,travel,0,4.57522630961502,4
